sp,overwintering.stage,voltinism,notes
Papilio palamedes,Pupae,multi,NA
Papilio rumiko,Pupae,multi,NA
Papilio rutulus,Pupae,multi,NA
Papilio troilus,Pupae,multi,NA
Papilio zelicaon,Pupae,multi,NA
Parnassius clodius,Egg,uni,NA
Parnassius smintheus,Egg,uni,NA
Philotes sonorensis,Pupae,uni,NA
Phocides lilea,None,multi,Flies year round
Pholisora catullus,Larvae,multi,NA
Phyciodes cocyta,Larvae,uni,NA
Phyciodes graphica,None,multi,Flies year round
Phyciodes mylitta,Larvae,multi,NA
Phyciodes pulchella,Larvae,multi,NA
Pieris marginalis,Pupae,multi,NA
Pieris oleracea,Pupae,multi,NA
Pieris virginiensis,Pupae,uni,NA
Plebejus anna,Egg,uni,NA
Plebejus melissa,Egg,multi,NA
Plebejus samuelis,Egg,multi,NA
Poanes viator,Larvae,multi,NA
Polites baracoa,Larvae,multi,NA
Polites egeremet,Larvae,multi,NA
Polites mystic,Larvae,uni,NA
Polites otho,NA,multi,NA
Polites sabuleti,Pupae,multi,NA
Polites themistocles,Pupae,multi,NA
Polygonia gracilis,Adult,uni,NA
Polygonia satyrus,Adult,uni,NA
Pontia protodice,Pupae,multi,NA
Pontia sisymbrii,Pupae,uni,NA
Problema byssus,Larvae,multi,NA
Pyrisitia lisa,Adult,multi,NA
Pyrisitia proterpia,None,multi,Flies year round
Quasimellana eulogius,None,multi,Flies year round
Satyrium behrii,Egg,uni,NA
Satyrium calanus,Egg,uni,NA
Satyrium californica,Egg,uni,NA
Satyrium edwardsii,Egg,uni,NA
Satyrium favonius,Egg,uni,NA
Satyrium liparops,Egg,uni,NA
Satyrium sylvinus,Egg,uni,NA
Satyrium tetra,Egg,uni,NA
Smerinthus jamaicensis,Pupae,uni,NA
Smerinthus ophthalmica,NA,NA,NA
Speyeria aphrodite,Larvae,uni,NA
Speyeria atlantis,Larvae,uni,NA
Speyeria callippe,Larvae,uni,NA
Speyeria coronis,Larvae,uni,NA
Speyeria cybele,Larvae,uni,NA
Speyeria hesperis,Larvae,uni,NA
Speyeria zerene,Larvae,uni,NA
Sphecodina abbottii,Pupae,multi,NA
Sphinx kalmiae,Pupae,multi,NA
Spicauda procne,None,multi,Flies year round
Staphylus hayhurstii,Larvae,multi,NA
Strymon istapa,None,multi,Flies year round
Syssphinx hubbardi,Pupae,multi,NA
Systasea pulverulenta,Larvae,multi,NA
Texola elada,NA,multi,NA
Tharsalea arota,Egg,uni,NA
Tharsalea helloides,Egg,multi,NA
Tharsalea heteronea,Egg,uni,NA
Tharsalea hyllus,Egg,multi,NA
Tharsalea mariposa,Egg,uni,NA
Tharsalea xanthoides,Egg,uni,NA
Thorybes bathyllus,Larvae,multi,NA
Thorybes dorantes,None,multi,Flies year round
Thorybes pylades,Larvae,multi,NA
Thymelicus lineola,Egg,uni,NA
Vanessa annabella,None,multi,Flies year round
Vernia verna,Larvae,multi,NA
Xylophanes tersa,Pupae,multi,NA
Zerene eurydice,Adult,multi,NA
